corpus,date,time
On July 15 numerous Twitter accounts belonging to high profile figures like Bill Gates Elon Musk and Barack Obama were hacked with the perpetrators usin Read more forbes com sites mattpere,2020-08-03,23:57:36
Doug Thanks Elon Musk and Trump,2020-08-03,23:57:38
why would you abort I stayed up for this,2020-08-03,23:57:40
detanking,2020-08-03,23:57:43
150m hop Possible detanking SpaceX ElonMusk Starship,2020-08-03,23:57:46
detanking,2020-08-03,23:57:53
scrubbed,2020-08-03,23:57:57
Abort,2020-08-03,23:58:01
what happened,2020-08-03,23:58:02
Hop Abort,2020-08-03,23:58:02
Detanking,2020-08-03,23:58:03
What happened Elon,2020-08-03,23:58:03
What happened,2020-08-03,23:58:04
what happened another problem with the raptor,2020-08-03,23:58:10
what happened,2020-08-03,23:58:10
was there an abort,2020-08-03,23:58:16
Egypt Fact Checks Elon Musk On Who Really Built Pyramids medya berlin en egypt fact,2020-08-03,23:58:16
Funny account can we get you guys both to go to Uranus,2020-08-03,23:58:20
Looks like a de tank at Boca big ol raptor not like something,2020-08-03,23:58:21
road Don did you get advice from a black latino asian indian and white before u post this tweet If not how racist are you,2020-08-03,23:58:23
Nooooo what happened,2020-08-03,23:58:24
ReaalAmerican Trump knows a few people don t agree with him It s people like you who are marginally educated who won t vote for him or agree to his policies It s obvious you cant comprehend or appreciate his policies For example put walls up so illegal aliens can t get in to take our jobs,2020-08-03,23:58:24
did you detank the rocket,2020-08-03,23:58:24
Recycle,2020-08-03,23:58:28
Looks like it detanked Was that an abort,2020-08-03,23:58:28
What happened,2020-08-03,23:58:29
Did we scrub Or is there time to recycle,2020-08-03,23:58:29
detanking,2020-08-03,23:58:31
Hold,2020-08-03,23:58:31
did whats safe Try again later,2020-08-03,23:58:31
What happened,2020-08-03,23:58:32
Was it aborted,2020-08-03,23:58:35
Detanked Scrubbed,2020-08-03,23:58:37
Uh oh Detank,2020-08-03,23:58:40
Why would Republicancapitalism be worse when it would finally provide the incentive to lower price and raise quality Are you against affordability and quality or have you just failed to think about this at all thanks to the socialist mob you blindly follow,2020-08-03,23:58:41
Is the hop scrubbed,2020-08-03,23:58:45
what happened to SN5,2020-08-03,23:58:45
Detanking he said it like 30 times isn t it obvious,2020-08-03,23:58:46
Elon Musk my mentor,2020-08-03,23:58:47
No hop Elon,2020-08-03,23:58:47
Drat,2020-08-03,23:58:49
Someone think like us Thanks twitter com elonmusk statu,2020-08-03,23:58:51
Update,2020-08-03,23:58:53
Nooooooo gutted We will have to go again,2020-08-03,23:58:54
Better safe than sorry I guess,2020-08-03,23:58:55
Idk didn t seem like enough fuel,2020-08-03,23:58:57
Looked like it,2020-08-03,23:58:58
It wasn t a launch,2020-08-03,23:58:58
Deffo an abort,2020-08-03,23:58:59
Ancient Origins Elon Musk s Ancient Aliens Twittersphere Controversy Continues ancient origins net news science s,2020-08-03,23:59:01
hey fuck tesla and elon musk,2020-08-03,23:59:02
Detanking,2020-08-03,23:59:03
abort today,2020-08-03,23:59:04
Looks like the attempt was aborted What happen,2020-08-03,23:59:08
was that an abort,2020-08-03,23:59:08
what was the problem,2020-08-03,23:59:12
aaaand nooope,2020-08-03,23:59:14
Hey Elon Look what happens when no historians are taken to Egypt tour Only tech guys youtu be EIAIhwwCYcM see their full films to get the whole thing,2020-08-03,23:59:15
Next time for sure,2020-08-03,23:59:15
Elin high on escape velocity No coming back,2020-08-03,23:59:18
you guys got mobile homes yet,2020-08-03,23:59:18
what happened to 150m sn6 hop,2020-08-03,23:59:22
abort,2020-08-03,23:59:22
They are recycling,2020-08-03,23:59:25
Scrubbed,2020-08-03,23:59:26
What happened,2020-08-03,23:59:28
Scrubbed,2020-08-03,23:59:28
It didn t fire,2020-08-03,23:59:33
We are the seeds that s already been dispersed into the universe,2020-08-03,23:59:34
Elon Musk praises Chinese but slams Americans as being entitled mol im a 8587997 via I guess we re good enough to retrieve his space capsule though,2020-08-03,23:59:35
I guess the launch was aborted,2020-08-03,23:59:35
Any status on the 150 meter hop Is this an indication of an abort twitter com NASASpacefligh,2020-08-03,23:59:37
well it didn t explode unlucky how long till the next effort,2020-08-03,23:59:38
Scrub is better than fail we cab wait,2020-08-03,23:59:38
Great Egyptians,2020-08-03,23:59:39
Elon musk and trump to build first Trump tower on mars Scott Baio and James woods to oversee the day to day operations independent co uk life style gad,2020-08-03,23:59:40
Facts I m all with u bro,2020-08-03,23:59:41
Sad day,2020-08-03,23:59:42
was that a abort scrub and any chance of retrying within the hour,2020-08-03,23:59:42
the Starship SN5 150 Meter test was abortl good luck science for the next,2020-08-03,23:59:43
I hope not Damn,2020-08-03,23:59:44
Darn it Was that a detanking,2020-08-03,23:59:44
Scrubbed,2020-08-03,23:59:44
buy it and make MyspaceGreatAgain MMGA,2020-08-03,23:59:44
Yes you can,2020-08-03,23:59:45
Wonder how that feels after watching two astronauts return to Earth by a company that did it in less time and 1 26th the budget as the government estimated it would take Congrats Elon And everyone at SpaceX,2020-08-03,23:59:45
Shoot maybe next week when we are onsite,2020-08-03,23:59:46
Might be extended,2020-08-03,23:59:46
Did you abort,2020-08-03,23:59:46
I know but I mean why did it scrub Get out of here chris,2020-08-03,23:59:47
The Elon Musk joke about the pyramids shows that humor is different around the world,2020-08-03,23:59:49
Looks like it,2020-08-03,23:59:52
Is it scrubbed,2020-08-03,23:59:53
how about a shirt that says Scrubs are cheaper than booms Great quote from,2020-08-03,23:59:53
150m hop Test aborted SpaceX ElonMusk Starship,2020-08-03,23:59:54
very stable genius,2020-08-03,23:59:55
hi Elon What happened to starship No 150m hop today,2020-08-03,23:59:56
Please Mr Musk I have an idea of a Whole Lot of people in DC that I think would be Great to send to Mars,2020-08-03,23:59:56
is the test scrubbed,2020-08-03,23:59:58
I m watching your stream at 2 am,2020-08-03,23:59:58
